COG	COG term
COG0133	[E] COG0133 Tryptophan synthase beta chain
COG0134	[E] COG0134 Indole-3-glycerol phosphate synthase
COG0135	[E] COG0135 Phosphoribosylanthranilate isomerase
COG0136	[E] COG0136 Aspartate-semialdehyde dehydrogenase
COG0137	[E] COG0137 Argininosuccinate synthase
COG0138	[F] COG0138 AICAR transformylase/IMP cyclohydrolase PurH (only IMP cyclohydrolase domain in Aful)
COG0139	[E] COG0139 Phosphoribosyl-AMP cyclohydrolase
COG0140	[E] COG0140 Phosphoribosyl-ATP pyrophosphohydrolase
COG0141	[E] COG0141 Histidinol dehydrogenase
COG0142	[H] COG0142 Geranylgeranyl pyrophosphate synthase
COG0143	[J] COG0143 Methionyl-tRNA synthetase
COG0144	[J] COG0144 tRNA and rRNA cytosine-C5-methylases
COG0145	[EQ] COG0145 N-methylhydantoinase A/acetone carboxylase, beta subunit
COG0146	[EQ] COG0146 N-methylhydantoinase B/acetone carboxylase, alpha subunit
COG0147	[EH] COG0147 Anthranilate/para-aminobenzoate synthases component I
COG0148	[G] COG0148 Enolase
COG0149	[G] COG0149 Triosephosphate isomerase
COG0150	[F] COG0150 Phosphoribosylaminoimidazole (AIR) synthetase
COG0151	[F] COG0151 Phosphoribosylamine-glycine ligase
COG0152	[F] COG0152 Phosphoribosylaminoimidazolesuccinocarboxamide (SAICAR) synthase
COG0153	[G] COG0153 Galactokinase
COG0154	[J] COG0154 Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit and related amidases
COG0155	[P] COG0155 Sulfite reductase, beta subunit (hemoprotein)
COG0156	[H] COG0156 7-keto-8-aminopelargonate synthetase and related enzymes
COG0157	[H] COG0157 Nicotinate-nucleotide pyrophosphorylase
COG0158	[G] COG0158 Fructose-1,6-bisphosphatase
COG0159	[E] COG0159 Tryptophan synthase alpha chain
COG0160	[E] COG0160 4-aminobutyrate aminotransferase and related aminotransferases
COG0161	[H] COG0161 Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
COG0162	[J] COG0162 Tyrosyl-tRNA synthetase
COG0163	[H] COG0163 3-polyprenyl-4-hydroxybenzoate decarboxylase
COG0164	[L] COG0164 Ribonuclease HII
COG0165	[E] COG0165 Argininosuccinate lyase
COG0166	[G] COG0166 Glucose-6-phosphate isomerase
COG0167	[F] COG0167 Dihydroorotate dehydrogenase
COG0168	[P] COG0168 Trk-type K+ transport systems, membrane components
COG0169	[E] COG0169 Shikimate 5-dehydrogenase
COG0170	[I] COG0170 Dolichol kinase
COG0171	[H] COG0171 NAD synthase
COG0172	[J] COG0172 Seryl-tRNA synthetase
COG0173	[J] COG0173 Aspartyl-tRNA synthetase
